id,name,voltage_kv,latitude,longitude,operator,data_quality
sub_263043288,Viljandi alajaam,110.0,58.3748409125,25.56629497812499,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263235177,Sõmerpalu alajaam,110.0,57.846682133333466,26.82540233333331,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263253461,Ruusmäe alajaam,110.0,57.64548795000011,27.083398266666638,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263282451,Alajõe alajaam,110.0,59.01247565714301,27.44307241428566,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263282453,Kantküla alajaam,110.0,58.819879466666826,26.598489083333288,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263282454,Kiikla alajaam,110.0,59.292482560000145,27.25842071999993,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263282458,Põdra alajaam,110.0,58.72906306666682,26.2288489666666,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_263962720,Paikuse alajaam,110.0,58.377276683334124,24.639359399999947,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_264287766,PTK alajaam,110.0,59.38380852000063,27.24209564000006,Elering,assumed_network_credible_reconstruction
sub_265029734,Ranna alajaam,110.0,59.43639901052652,24.758710173684214,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_290177759,Illuka alajaam,110.0,59.22848188000022,27.472096960000044,Elering,assumed_network_credible_reconstruction
sub_320516496,Substation 320516496,330.0,59.243661016666856,24.70511001666664,,assumed_network_credible_reconstruction
sub_321829091,NEMK alajaam,110.0,59.35949218333357,28.102760349999983,VKG Elektrivõrgud,assumed_network_credible_reconstruction
sub_552646579,Puhja JP,110.0,58.35625854000119,26.30697741000004,Elering,assumed_network_credible_reconstruction
sub_656815969,Mustamäe alajaam,110.0,59.405035690908996,24.67373650909085,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_733916636,Kiini alajaam,110.0,58.33335850000007,25.381327459999948,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_738249704,Veerenni alajaam1,110.0,59.41745853999999,24.750778953333306,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_743155118,Sopi alajaam,330.0,58.60567207777784,24.75697767777777,,assumed_network_credible_reconstruction
sub_768781614,Kilingi-Nõmme 330 kV alajaam,330.0,58.15799261111106,24.987035411111105,Elering AS,assumed_network_credible_reconstruction
sub_1044156210,Substation 1044156210,110.0,59.38571284000009,24.561067400000034,,assumed_network_credible_reconstruction
sub_1119253850,Substation 1119253850,110.0,59.11822629999999,24.298108700000018,Elering,assumed_network_credible_reconstruction
sub_1226694590,Saarde tuulepargi alajaam,110.0,58.21406843636361,25.097415490909068,Elering,assumed_network_credible_reconstruction
sub_1318762020,Substation 1318762020,110.0,58.67983215714288,23.813325985714275,,assumed_network_credible_reconstruction
sub_1328993407,Mustvee 330 kV,330.0,58.840540519999976,26.91380553999993,,assumed_network_credible_reconstruction
sub_1350399900,Elektrijaama alajaam,110.0,59.44394866000009,24.751095470000006,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_1473331463,Tapa veoalajaam,110.0,59.255873220000055,25.98430191999996,AS Eesti Raudtee,assumed_network_credible_reconstruction
sub_1473331965,Jõgeva veoalajaam,110.0,58.74376588000009,26.403564039999964,AS Eesti Raudtee,assumed_network_credible_reconstruction
sub_1533002864,Lihula alajaam,330.0,58.67911424545455,23.81875964545459,Elering,assumed_network_credible_reconstruction
